Variables;result
;284893,537482828
x_plant1_pipe1_d1;0
y_plant1_pipe1_d1;1
x_plant1_pipe1_d3;0
y_plant1_pipe1_d3;0
x_plant1_pipe1_d4;0
y_plant1_pipe1_d4;0
x_plant1_pipe2_d1;0
y_plant1_pipe2_d1;1
x_plant1_pipe2_d3;0
y_plant1_pipe2_d3;0
x_plant1_pipe2_d4;0
y_plant1_pipe2_d4;0
x_plant1_pipe3_d1;0
y_plant1_pipe3_d1;1
x_plant1_pipe3_d3;0
y_plant1_pipe3_d3;0
x_plant1_pipe3_d4;0
y_plant1_pipe3_d4;0
x_plant1_pipe4_d1;0
y_plant1_pipe4_d1;1
x_plant1_pipe4_d3;0
y_plant1_pipe4_d3;0
x_plant1_pipe4_d4;0
y_plant1_pipe4_d4;0
x_plant1_pipe5_d1;0
y_plant1_pipe5_d1;1
x_plant1_pipe5_d3;0
y_plant1_pipe5_d3;0
x_plant1_pipe5_d4;0
y_plant1_pipe5_d4;0
x_plant1_pipe6_d1;0
y_plant1_pipe6_d1;1
x_plant1_pipe6_d3;0
y_plant1_pipe6_d3;0
x_plant1_pipe6_d4;0
y_plant1_pipe6_d4;0
x_plant1_pipe7_d1;0
y_plant1_pipe7_d1;1
x_plant1_pipe7_d3;0
y_plant1_pipe7_d3;0
x_plant1_pipe7_d4;0
y_plant1_pipe7_d4;0
x_plant1_pipe8_d1;0
y_plant1_pipe8_d1;1
x_plant1_pipe8_d3;0
y_plant1_pipe8_d3;0
x_plant1_pipe8_d4;0
y_plant1_pipe8_d4;0
x_plant1_pipe9_d1;0
y_plant1_pipe9_d1;1
x_plant1_pipe9_d3;0
y_plant1_pipe9_d3;0
x_plant1_pipe9_d4;0
y_plant1_pipe9_d4;0
x_plant1_pipe10_d1;0
y_plant1_pipe10_d1;1
x_plant1_pipe10_d3;0
y_plant1_pipe10_d3;0
x_plant1_pipe10_d4;0
y_plant1_pipe10_d4;0
x_plant1_pipe11_d1;0
y_plant1_pipe11_d1;1
x_plant1_pipe11_d3;0
y_plant1_pipe11_d3;0
x_plant1_pipe11_d4;0
y_plant1_pipe11_d4;0
x_plant1_pipe12_d1;0
y_plant1_pipe12_d1;1
x_plant1_pipe12_d3;0
y_plant1_pipe12_d3;0
x_plant1_pipe12_d4;0
y_plant1_pipe12_d4;0
x_plant1_pipe13_d1;0
y_plant1_pipe13_d1;1
x_plant1_pipe13_d3;0
y_plant1_pipe13_d3;0
x_plant1_pipe13_d4;0
y_plant1_pipe13_d4;0
x_plant1_pipe14_d1;0
y_plant1_pipe14_d1;1
x_plant1_pipe14_d3;0
y_plant1_pipe14_d3;0
x_plant1_pipe14_d4;0
y_plant1_pipe14_d4;0
